time_period,poems_count,poem_ids,group_numbers,place_codes,poem_types,rhyme_categories,has_source_books,total_allusions,total_annotations,annotation_types,total_lines,has_title_count,group_poems_count,unique_places_count
742年,4,"[""30790"", ""30601"", ""30675"", ""1367136""]",[],"[""CN4103"", ""CN4102""]","{""律詩"": 3, ""文"": 1}","{""冬"": 1, ""文"": 1, ""灰"": 1}",1,2,0,{},94,4,0,2
759年,134,"[""31012"", ""30608"", ""30609"", ""31047"", ""31048"", ""31049"", ""31050"", ""31051"", ""31052"", ""31053"", ""31054"", ""31055"", ""31056"", ""31057"", ""31058"", ""31059"", ""31060"", ""31061"", ""31062"", ""31063"", ""31064"", ""31065"", ""31066"", ""30619"", ""31110"", ""30637"", ""31635"", ""31166"", ""30574"", ""31210"", ""30602"", ""30772"", ""30657"", ""31037"", ""30890"", ""31147"", ""31204"", ""30877"", ""31019"", ""30856"", ""30568"", ""30961"", ""30989"", ""30755"", ""30579"", ""30600"", ""30937"", ""30612"", ""30870"", ""31046"", ""31239"", ""31769"", ""30973"", ""31154"", ""30672"", ""30769"", ""30770"", ""30771"", ""30589"", ""30946"", ""30621"", ""30622"", ""30859"", ""30777"", ""31720"", ""31372"", ""31371"", ""31368"", ""31369"", ""31841"", ""31670"", ""31796"", ""31832"", ""31491"", ""31797"", ""31598"", ""31447"", ""31703"", ""31705"", ""31493"", ""31686"", ""31594"", ""31586"", ""31540"", ""31541"", ""31751"", ""31441"", ""31762"", ""31763"", ""31525"", ""31811"", ""31814"", ""31817"", ""31208"", ""31821"", ""31810"", ""31812"", ""31816"", ""31818"", ""31822"", ""31560"", ""31416"", ""31549"", ""31469"", ""31585"", ""31727"", ""31718"", ""31775"", ""31615"", ""31637"", ""31495"", ""31489"", ""31721"", ""31616"", ""31437"", ""31734"", ""31735"", ""31736"", ""31737"", ""31738"", ""31739"", ""31740"", ""31468"", ""31448"", ""31482"", ""31449"", ""31433"", ""31435"", ""31494"", ""31486"", ""31711"", ""31650"", ""31771"", ""31516""]","[""10"", ""19"", ""9"", ""8"", ""7"", ""12"", ""11"", ""20"", ""5"", ""16"", ""15"", ""6"", ""13"", ""14"", ""17"", ""2"", ""3"", ""1"", ""4"", ""18""]","[""CN411222"", ""CN6205"", ""CN610522"", ""CN621226"", ""CN5108"", ""CN510823"", ""CN621225"", ""CN4103"", ""CN410325"", ""CN621221"", ""CN5106"", ""CN610727"", ""CN5101"", ""CN610521"", ""CN410323""]","{""律詩"": 64, ""排律"": 5, ""古風"": 65}","{""微"": 7, ""尤"": 7, ""东"": 2, ""麻"": 4, ""支"": 5, ""阳"": 10, ""删"": 2, ""灰"": 1, ""青"": 3, ""元"": 3, ""齐"": 4, ""先"": 10, ""文"": 1, ""寒"": 8, ""庚"": 5, ""0"": 1, ""歌"": 6, ""豪"": 2, ""侵"": 5, ""真"": 3, ""鱼"": 2, ""20"": 1, ""陌"": 1, ""麌"": 4, ""28"": 1, ""屋"": 1, ""遇"": 2, ""21"": 1, ""7"": 1, ""职"": 1, ""寘"": 1, ""皓"": 1, ""祃"": 1, ""30"": 4, ""31"": 2, ""药"": 1, ""5"": 1, ""屑"": 1, ""29"": 1, ""缉"": 1, ""霰"": 1, ""翰"": 1, ""萧"": 1, ""漾"": 1}",0,163,0,{},1974,134,48,15
740年,5,"[""31242"", ""30565"", ""30677"", ""30648"", ""31241""]","[""1"", ""2""]","[""CN370812"", ""CN3708""]","{""律詩"": 5}","{""尤"": 2, ""先"": 1, ""侵"": 1, ""鱼"": 1}",0,8,0,{},40,5,2,2
736年,2,"[""31188"", ""31759""]",[],"[""CN370812"", ""CN3709,泰山""]","{""律詩"": 1, ""古風"": 1}","{""鱼"": 1, ""筱"": 1}",0,0,0,{},16,2,0,2
745年,6,"[""31175"", ""30638"", ""30514"", ""31359"", ""31280"", ""31498""]",[],"[""CN3701"", ""CN410381"", ""CN370812""]","{""律詩"": 2, ""絶句"": 1, ""排律"": 2, ""古風"": 1}","{""删"": 1, ""支"": 1, ""东"": 1, ""歌"": 1, ""庚"": 1, ""侵"": 1}",0,7,0,{},60,6,0,3
741年,7,"[""30576"", ""30858"", ""30869"", ""30759"", ""30821"", ""31334"", ""31782""]",[],"[""CN410381"", ""CN4103""]","{""律詩"": 5, ""排律"": 1, ""古風"": 1}","{""支"": 1, ""庚"": 1, ""虞"": 1, ""歌"": 1, ""阳"": 1, ""豪"": 1, ""梗"": 1}",1,7,0,{},72,7,0,2
746年,6,"[""30919"", ""31394"", ""31436"", ""31689"", ""31592"", ""31628""]",[],"[""CN6101"", ""CN6104""]","{""律詩"": 1, ""排律"": 1, ""古風"": 4}","{""文"": 1, ""蒸"": 1, ""先"": 1, ""寒"": 1}",0,25,0,{},110,5,0,2
753年,16,"[""31261"", ""31087"", ""31088"", ""31089"", ""31090"", ""31091"", ""31092"", ""31093"", ""31094"", ""31095"", ""31096"", ""30533"", ""31609"", ""31696"", ""31487"", ""31551""]","[""6"", ""3"", ""10"", ""1"", ""4"", ""7"", ""9"", ""8"", ""2"", ""5""]","[""CN6101""]","{""律詩"": 12, ""排律"": 1, ""古風"": 2, ""樂府曲辭"": 1}","{""庚"": 2, ""萧"": 1, ""支"": 3, ""麻"": 1, ""灰"": 1, ""先"": 1, ""阳"": 1, ""文"": 1, ""歌"": 1, ""10"": 1, ""4"": 1, ""霰"": 1, ""真"": 1}",0,16,0,{},214,16,10,1
754年,38,"[""31115"", ""31001"", ""31005"", ""31006"", ""31007"", ""31008"", ""31009"", ""30566"", ""31121"", ""30984"", ""31099"", ""31100"", ""30895"", ""31257"", ""31263"", ""31312"", ""31328"", ""31332"", ""31439"", ""31678"", ""31679"", ""31680"", ""31473"", ""31835"", ""31618"", ""31492"", ""31401"", ""31783"", ""31784"", ""31511"", ""31704"", ""31712"", ""31575"", ""31602"", ""1367108"", ""1367110"", ""1367118"", ""1367119""]","[""3"", ""1"", ""4"", ""2"", ""5""]","[""CN610526"", ""CN6101""]","{""律詩"": 15, ""排律"": 3, ""古風"": 16, ""辭賦"": 2, ""文"": 2}","{""歌"": 1, ""东"": 3, ""鱼"": 1, ""支"": 3, ""阳"": 2, ""先"": 3, ""寒"": 1, ""豪"": 1, ""盐"": 1, ""尤"": 2, ""萧"": 1, ""齐"": 1, ""元"": 1, ""宥"": 1, ""21"": 1, ""青"": 1}",4,65,0,{},979,37,10,2
752年,11,"[""30979"", ""31382"", ""31326"", ""31606"", ""31475"", ""30448"", ""31480"", ""31499"", ""31522"", ""31523"", ""31524""]","[""3"", ""1"", ""2""]","[""CN6101""]","{""律詩"": 1, ""排律"": 2, ""古風"": 8}","{""先"": 2, ""庚"": 1, ""元"": 1, ""真"": 1, ""麌"": 2, ""尤"": 1, ""豪"": 1}",0,23,0,{},163,8,3,1
